 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11457499;"1ª Edición Festival Internacional de Luz de Madrid";"";"1";"1";"L,M,X,J,V,S,D";"";"2021-10-29 00:00:00.0";"2021-10-31 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7285edf0f70ab710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesCalleArteUrbano";"";
11461367;"35º Certamen coreográfico de Madrid";"Entrada general: 15 euros";"0";"1";"L,M,X,J,V,S,D";"";"2021-12-08 00:00:00.0";"2021-12-12 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa6be1e2c15cb710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"11";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/DanzaBaile";"";
11488627;"3. Concierto Clásico";"";"0";"0";"";"";"2021-11-13 00:00:00.0";"2021-11-13 23:59:00.0";"18:00";"Atlántida Chamber Orchestra    (Lis String Sextet)    Dirige: Manuel Tévar.  Programa:   W. A. MOZART  Pequeña serenata nocturna:1. Allegro2. Andante3. Minueto4. Rondo Allegro  AMY BEACH  Quinteto op 80 Tema y variaciones.  Flauta y cuarteto de cuerda  W. A. MOZART  Quinteto para clarinete y cuarteto de cuerda: 1. Allegro2. Andante3. Minueto4. Rondo Allegro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=526dc0dfb545c710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Zazuar (Villa de Vallecas)";"1";"CALLE";"ZAZUAR";"4";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"448550";"4470424";"40.38281899948726";"-3.606140062044455";"/contenido/actividades/Musica";"";
11488635;"4. Concierto Romántico";"";"0";"0";"";"";"2021-11-27 00:00:00.0";"2021-11-27 23:59:00.0";"18:00";"Atlántida Chamber Orchestra    Dirige: Manuel Tévar.  Programa:   GRIEG  (Peer Gynt op. 46.)  BIZET  (Suite Carmen)  MASSENET  (Meditación de Thais)  BRITTEN  (Sentimental Sarabanda)  TCHAIKOVSKY  (Valse serenata cuerdas op. 48.)  MASCAGNI  (Cavalleria Rusticana)  WILLIAMS  (La lista de Schindler)  SIBELIUS  (Vals triste)  PIAZZOLLA  (Oblivion)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9adc0dfb545c710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Zazuar (Villa de Vallecas)";"1";"CALLE";"ZAZUAR";"4";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"448550";"4470424";"40.38281899948726";"-3.606140062044455";"/contenido/actividades/Musica";"";
11480760;"5 Pintores por Amor al Arte. Pintura.";"";"1";"1";"L,M,X,J,V";"12/10/2021;";"2021-09-30 00:00:00.0";"2021-10-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbeb65b38f03c710VgnVCM1000001d4a900aRCRD";"Programa de actividades en el Centro Cultural Sara Montiel (Latina)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd49b87374893510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c957cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Sara Montiel (Latina)";"1";"CARRETERA";"BOADILLA DEL MONTE";"40";"LATINA";"CAMPAMENTO";"28024";"434222";"4472418";"40.399764677637116";"-3.775144917950534";"/contenido/actividades/Exposiciones";"";
11469737;"50 años de la Mujer en la Policía Municipal";"";"1";"1";"L,M,X,J,V,S,D";"";"2021-10-01 00:00:00.0";"2021-10-29 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca8186685930c710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Antonio Machado (San Blas - Canillejas)";"1";"CALLE";"SAN ROMÁN DEL VALLE";"8";"SAN BLAS-CANILLEJAS";"ARCOS";"28037";"447255";"4474591";"40.42027705095574";"-3.621741078700336";"/contenido/actividades/Exposiciones";"";
11481205;"5º Certamen de Cortos Labanda";"";"1";"0";"";"";"2021-10-23 00:00:00.0";"2021-10-23 23:59:00.0";"18:00";"'V Certamen de Cortos Labanda', final y entrega de premio del jurado y premio del público.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=777157f91713c710VgnVCM2000001f4a900aRCRD";"Programa de actividades en el Centro Cultural Fernando de los Ríos (Latina)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=36e6d0843f893510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Fernando de los Ríos (Latina)";"1";"CALLE";"CAMARENA";"10";"LATINA";"ALUCHE";"28047";"435819";"4471933";"40.39552931214334";"-3.7562667464373223";"/contenido/actividades/CineActividadesAudiovisuales";"";
11491544;"A Compás";"";"1";"0";"";"";"2021-11-20 00:00:00.0";"2021-11-20 23:59:00.0";"19:00";"MONCLOA A RITMO DE FLAMENCO   MARÍA MEZCLE   'A Compás'   Ficha Artística:  Cante: María Mezcle Guitarra: Joni Jiménez Palmas: Ali de La Tota y Manuel Salado María es una artista necesaria para el Flamenco. Es cantaora, autora, compositora y productora musical. Con su concepto artístico personal, está destinada a ser una de las voces principales del panorama de nuestro país. Tras años de trayectoria, trabajando junto a maestros como Gerardo Núñez, Manolo Sanlúcar y Farruquito, entre otros, ha adquirido una experiencia y conocimiento, que la han llevado a desarrollar un proyecto muy personal, en donde el amor, el desamor, la desilusión y la esperanza, son la fuente de su inspiración. 'A Compás', es un recital de cante clásico y fresco. Una puesta en escena tradicional, acompañada de la guitarra flamenca en una propuesta de cante muy variado, mostrándonos una amalgama de cantes desde los más jondos, como el martinete y la siguiriya, hasta los más rítmicos y airosos como las cantiñas. María es una cantaora larga que conoce los cantes y estilos más antiguos y olvidados y siempre nos sorprende con alguno de ellos como la farruca, la serrana y muchos más.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cd7840cf3a5c710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Moncloa (Moncloa - Aravaca)";"2";"PLAZA";"MONCLOA";"1";"MONCLOA-ARAVACA";"ARGUELLES";"28008";"439028";"4476311";"40.435209393826675";"-3.7188765163188293";"/contenido/actividades/Musica/Flamenco";"";
11491555;"A Kali Canto";"";"1";"0";"";"";"2021-11-27 00:00:00.0";"2021-11-27 23:59:00.0";"19:00";"CLAUSURA MONCLOA A RITMO DE JAZZ   TINO DI GERALDO presenta    A KALI CANTO con Melón Jiménez y Lara Wong         Formación:  Percusión: Tino Di Geraldo Guitarra: Melón Jiménez Flautas y vientos: Lara Wong El confinamiento hizo que el maestro percusionista Tino Di Geraldo, desempolvara su instrumento favorito, la tabla india, y dedicara prácticamente la totalidad de su tiempo a profundizar en su estudio. De ahí surge la idea de montar un trío con Melón Jiménez, guitarrista familiarizado con su sonido por haber estado girado internacionalmente con ANOUSKA SHANKAR, y que es capaz de evocar el sitar con la guitarra flamenca. En un principio de manera virtual adaptan varios de los temas más importantes e influyentes en la memoria musical de Di Geraldo (Weather Report, John Mclaughlin, Gwana Fusion...) así como elaboran temas propios. El tercer miembro, Lara Wong con sus instrumentos de viento. Ella, de orígenes asiáticos pero nacida en Canadá, era la otra 'inquilina del mundo' que se une y completa la formación. De la que podemos destacar que, en la edición de este año del Festival Cante de las Minas, en su 60ª edición ha sido la primera artista extranjera en pisar las tablas de La Unión como semifinalista aspirante al premio Filón, en la categoría de instrumentista. Definir o encasillar esta propuesta no es fácil ¿Flamenco? ¿Jazz? ¿World music? Música, al fin y al cabo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb49f23657a5c710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Moncloa (Moncloa - Aravaca)";"2";"PLAZA";"MONCLOA";"1";"MONCLOA-ARAVACA";"ARGUELLES";"28008";"439028";"4476311";"40.435209393826675";"-3.7188765163188293";"/contenido/actividades/Musica/Flamenco";"";
11470300;"A todos nos gusta el plátano";"";"0";"0";"";"";"2021-10-26 00:00:00.0";"2021-10-26 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c86137a33080c710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
